set,series,number,name,rarity,types,hp,image_small,is_ex,popularity,tcgplayer_price,cardmarket_price_eur,price,predicted_price,residual_log,verdict,confident,pull_cost,pull_score,pct_change_7d,pct_change_30d
Champion's Path,Sword & Shield,80,Suspicious Food Tin,Rare Secret,,0.0,https://images.pokemontcg.io/swsh35/80.png,0,3.0,1.26,2.36,1.26,132.46,-4.66,,False,,,-8.0,
Dragon Vault,Black & White,19,First Ticket,Unknown,,0.0,https://images.pokemontcg.io/dv1/19.png,0,3.0,0.85,1.79,0.85,27.55,-3.48,,False,,,0.0,
XY Black Star Promos,XY,XY23,Shiftry,Promo,Grass,140.0,https://images.pokemontcg.io/xyp/XY23.png,0,3.0,0.77,0.99,0.77,20.24,-3.27,UNDERVALUED,True,,,0.0,
XY Black Star Promos,XY,XY14,Trevenant,Promo,Psychic,110.0,https://images.pokemontcg.io/xyp/XY14.png,0,3.0,0.76,1.03,0.76,18.25,-3.18,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM55,Decidueye,Promo,Grass,140.0,https://images.pokemontcg.io/smp/SM55.png,0,3.0,0.42,0.57,0.42,9.79,-3.15,UNDERVALUED,True,,,2.4,
SM Black Star Promos,Sun & Moon,SM27,Turtonator,Promo,Fire,130.0,https://images.pokemontcg.io/smp/SM27.png,0,3.0,0.41,0.42,0.41,9.35,-3.13,UNDERVALUED,True,,,-2.4,
SM Black Star Promos,Sun & Moon,SM28,Vikavolt,Promo,Lightning,150.0,https://images.pokemontcg.io/smp/SM28.png,0,3.0,0.48,0.5,0.48,10.25,-3.06,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM223,Terrakion,Promo,Fighting,140.0,https://images.pokemontcg.io/smp/SM223.png,0,3.0,0.46,1.24,0.46,9.79,-3.06,UNDERVALUED,True,,,4.5,
SM Black Star Promos,Sun & Moon,SM208,Vikavolt,Promo,Lightning,150.0,https://images.pokemontcg.io/smp/SM208.png,0,3.0,0.49,0.68,0.49,10.25,-3.04,UNDERVALUED,True,,,-5.8,
Legend Maker,EX,88,Mew ex,Rare Holo EX,Psychic,90.0,https://images.pokemontcg.io/ex12/88.png,1,3.0,1.38,42.48,1.38,26.52,-2.96,UNDERVALUED,True,,,0.0,
