name,popularity
Umbreon,10
Umbreon ex,10
Sylveon,9.5
Sylveon ex,9.5
Espeon,9
Espeon ex,9
Vaporeon,8.5
Vaporeon ex,8.5
Glaceon,8.5
Glaceon ex,8.5
Flareon,8.5
Flareon ex,8.5
Jolteon,8
Jolteon ex,8
Leafeon,7.5
Leafeon ex,7.5
Eevee,8
Eevee ex,8
Pikachu ex,9
Dragapult ex,7
Gholdengo ex,6.5
Lugia ex,7
Palafin ex,5.5
Terapagos ex,6
Ceruledge ex,6
Roaring Moon,6
Roaring Moon ex,6
Raging Bolt ex,5.5
Iron Valiant ex,5.5
Walking Wake ex,5
Iron Crown ex,5
Iron Hands ex,5
Sandy Shocks ex,5
Iron Leaves ex,5
Great Tusk,4.5
Iron Thorns ex,4.5
Iron Boulder,4
Teal Mask Ogerpon ex,6
Hearthflame Mask Ogerpon ex,5.5
Wellspring Mask Ogerpon ex,5
Cornerstone Mask Ogerpon ex,5
Pecharunt ex,6
Snorlax ex,5.5
Suicune,6
Groudon,5.5
Noivern ex,4.5
Lucario ex,5.5
Tyranitar ex,5
Hydrapple ex,4
Kieran,5.5
Crispin,5
Janine's Secret Art,5
Lacey,4.5
Amarys,4.5
Drayton,4.5
Briar,4.5
Carmine,4.5
Lillie's Clefairy ex,8.5
Salamence ex,6.5
N's Zoroark ex,7
Iono's Bellibolt ex,6
Hop's Zacian ex,6
Articuno,5
N's Reshiram,5
Volcanion ex,5.5
Furret,5.5
Lillie's Ribombee,4.5
Wailord,4
Iono's Kilowattrel,4
Hop's Wooloo,4
Lycanroc,3.5
Swinub,3.5
Maractus,3
Noibat,3.5
Dunsparce,4
Mimikyu ex,5.5
Alcremie ex,4
Mamoswine ex,4
Dudunsparce ex,3.5
Team Rocket's Mewtwo ex,9.5
Cynthia's Garchomp ex,8
Ethan's Ho-Oh ex,7.5
Team Rocket's Nidoking ex,6
Team Rocket's Crobat ex,6
Arven's Mabosstiff ex,5
Misty's Psyduck,7
Yanmega ex,4
Team Rocket's Moltres ex,7
Team Rocket's Persian ex,5
Steven's Metagross ex,5.5
Misty's Lapras,5
Team Rocket's Meowth,5.5
Ethan's Typhlosion,5.5
Team Rocket's Houndoom,4.5
Kangaskhan,4.5
Team Rocket's Murkrow,4
Blaziken,4.5
Ethan's Adventure,5
Team Rocket's Giovanni,5.5
Team Rocket's Ariana,4.5
Team Rocket's Petrel,4.5
