number,name,rarity,type,hp,price
1,Snivy,Common,Pokemon,0,0.17
2,Servine,Common,Pokemon,0,0.19
3,Serperior ex,Double Rare,Pokemon,0,0.56
4,Pansage,Common,Pokemon,0,0.06
5,Simisage,Uncommon,Pokemon,0,0.10
6,Petilil,Common,Pokemon,0,0.19
7,Lilligant,Uncommon,Pokemon,0,0.15
8,Maractus,Common,Pokemon,0,0.09
9,Karrablast,Common,Pokemon,0,0.08
10,Foongus,Common,Pokemon,0,0.07
11,Amoonguss,Uncommon,Pokemon,0,0.11
12,Victini,Rare,Pokemon,0,0.19
13,Darumaka,Common,Pokemon,0,0.12
14,Darmanitan,Uncommon,Pokemon,0,0.10
15,Larvesta,Common,Pokemon,0,0.09
16,Volcarona,Rare,Pokemon,0,0.23
17,Panpour,Common,Pokemon,0,0.09
18,Simipour,Uncommon,Pokemon,0,0.05
19,Tympole,Common,Pokemon,0,0.11
20,Palpitoad,Common,Pokemon,0,0.14
21,Seismitoad,Uncommon,Pokemon,0,0.11
22,Tirtouga,Uncommon,Pokemon,0,0.16
23,Carracosta,Rare,Pokemon,0,0.19
24,Alomomola,Uncommon,Pokemon,0,0.08
25,Cubchoo,Common,Pokemon,0,0.10
26,Beartic,Rare,Pokemon,0,0.15
27,Cryogonal,Uncommon,Pokemon,0,0.09
28,Kyurem ex,Double Rare,Pokemon,0,0.58
29,Emolga,Common,Pokemon,0,0.11
30,Tynamo,Common,Pokemon,0,0.24
31,Eelektrik,Uncommon,Pokemon,0,0.21
32,Eelektross,Uncommon,Pokemon,0,0.16
33,Thundurus,Rare,Pokemon,0,0.14
34,Zekrom ex,Double Rare,Pokemon,0,0.69
35,Munna,Common,Pokemon,0,0.12
36,Musharna,Uncommon,Pokemon,0,0.19
37,Solosis,Common,Pokemon,0,0.07
38,Duosion,Common,Pokemon,0,0.15
39,Reuniclus,Uncommon,Pokemon,0,0.49
40,Elgyem,Common,Pokemon,0,0.15
41,Beheeyem,Uncommon,Pokemon,0,0.08
42,Golett,Common,Pokemon,0,0.11
43,Golurk,Uncommon,Pokemon,0,0.06
44,Meloetta ex,Double Rare,Pokemon,0,0.60
45,Drilbur,Common,Pokemon,0,0.11
46,Excadrill ex,Double Rare,Pokemon,0,0.56
47,Timburr,Common,Pokemon,0,0.11
48,Gurdurr,Common,Pokemon,0,0.09
49,Conkeldurr,Rare,Pokemon,0,0.19
50,Throh,Uncommon,Pokemon,0,0.13
51,Dwebble,Common,Pokemon,0,0.12
52,Crustle,Uncommon,Pokemon,0,0.10
53,Landorus,Rare,Pokemon,0,0.16
54,Venipede,Common,Pokemon,0,0.11
55,Whirlipede,Common,Pokemon,0,0.12
