number,name,rarity,type,hp,price
1,Ethan's Pinsir,Uncommon,Pokemon,120,0.30
2,Yanma,Common,Pokemon,70,0.18
3,Yanmega ex,Double Rare,Pokemon,280,0.53
4,Pineco,Common,Pokemon,70,0.17
5,Shroomish,Common,Pokemon,60,0.19
6,Breloom,Common,Pokemon,120,0.13
7,Cynthia's Roselia,Common,Pokemon,70,0.32
8,Cynthia's Roserade,Rare,Pokemon,130,0.32
9,Mow Rotom,Common,Pokemon,70,0.19
10,Shaymin,Uncommon,Pokemon,80,0.90
11,Dwebble,Common,Pokemon,70,0.27
12,Crustle,Rare,Pokemon,150,0.36
13,Fomantis,Common,Pokemon,60,0.16
14,Lurantis,Uncommon,Pokemon,120,0.34
15,Team Rocket's Blipbug,Common,Pokemon,60,0.23
16,Applin,Common,Pokemon,40,0.21
17,Dipplin,Common,Pokemon,90,0.23
18,Hydrapple,Rare,Pokemon,170,0.33
19,Team Rocket's Tarountula,Common,Pokemon,50,0.27
20,Team Rocket's Spidops,Rare,Pokemon,130,0.30
21,Smoliv,Common,Pokemon,60,0.33
22,Dolliv,Common,Pokemon,90,0.27
23,Arboliva ex,Double Rare,Pokemon,310,0.66
24,Rellor,Common,Pokemon,40,0.23
25,Rabsca ex,Double Rare,Pokemon,250,0.54
26,Teal Mask Ogerpon,Uncommon,Pokemon,110,0.27
27,Growlithe,Common,Pokemon,80,0.27
28,Arcanine,Uncommon,Pokemon,140,0.34
29,Ponyta,Common,Pokemon,70,0.24
30,Rapidash,Uncommon,Pokemon,110,0.27
31,Team Rocket's Moltres ex,Double Rare,Pokemon,220,0.84
32,Ethan's Cyndaquil,Common,Pokemon,70,0.29
33,Ethan's Quilava,Common,Pokemon,100,0.30
34,Ethan's Typhlosion,Rare,Pokemon,170,0.46
35,Ethan's Slugma,Common,Pokemon,80,0.19
36,Ethan's Magcargo,Rare,Pokemon,130,0.27
37,Team Rocket's Houndour,Common,Pokemon,70,0.19
38,Team Rocket's Houndoom,Uncommon,Pokemon,130,0.33
39,Ethan's Ho-Oh ex,Double Rare,Pokemon,230,0.66
40,Torchic,Common,Pokemon,70,0.25
41,Combusken,Common,Pokemon,100,0.31
42,Blaziken,Rare,Pokemon,170,0.35
43,Heat Rotom,Common,Pokemon,80,0.23
44,Hearthflame Mask Ogerpon,Uncommon,Pokemon,110,0.27
45,Misty's Psyduck,Uncommon,Pokemon,70,0.87
46,Misty's Staryu,Common,Pokemon,70,0.32
47,Misty's Starmie,Uncommon,Pokemon,100,0.29
48,Misty's Magikarp,Common,Pokemon,30,0.39
49,Misty's Gyarados,Rare,Pokemon,180,0.49
50,Misty's Lapras,Common,Pokemon,110,0.34
51,Team Rocket's Articuno,Rare,Pokemon,120,0.55
52,Cynthia's Feebas,Common,Pokemon,30,0.27
53,Cynthia's Milotic,Uncommon,Pokemon,130,0.32
54,Clamperl,Common,Pokemon,60,0.19
55,Huntail,Uncommon,Pokemon,110,0.26
56,Gorebyss,Rare,Pokemon,90,0.31
57,Buizel,Common,Pokemon,70,0.27
58,Floatzel,Uncommon,Pokemon,120,0.31
59,Snover,Common,Pokemon,90,0.23
60,Abomasnow,Uncommon,Pokemon,150,0.33
