number,name,rarity,type,hp,price
1,Caterpie,Common,Pokemon,50,0.25
2,Metapod,Common,Pokemon,90,0.27
3,Butterfree,Rare,Pokemon,120,0.48
4,Paras,Common,Pokemon,70,0.28
5,Parasect,Common,Pokemon,120,0.25
6,Petilil,Common,Pokemon,50,0.27
7,Lilligant,Common,Pokemon,110,0.26
8,Maractus,Uncommon,Pokemon,110,0.24
9,Karrablast,Common,Pokemon,60,0.24
10,Foongus,Common,Pokemon,50,0.22
11,Amoonguss ex,Double Rare,Pokemon,260,0.53
12,Shelmet,Common,Pokemon,70,0.22
13,Accelgor,Uncommon,Pokemon,100,0.27
14,Durant,Common,Pokemon,90,0.27
15,Virizion,Uncommon,Pokemon,120,0.41
16,Sprigatito,Common,Pokemon,60,0.35
17,Floragato,Common,Pokemon,90,0.30
18,Meowscarada,Rare,Pokemon,160,0.49
19,Nymble,Common,Pokemon,50,0.26
20,Magmar,Common,Pokemon,80,0.26
21,Magmortar,Rare,Pokemon,130,0.39
22,Torchic,Common,Pokemon,60,0.26
23,Combusken,Uncommon,Pokemon,90,0.28
24,Blaziken ex,Double Rare,Pokemon,320,1.59
25,Torkoal,Common,Pokemon,130,0.27
26,N's Darumaka,Common,Pokemon,80,0.30
27,N's Darmanitan,Uncommon,Pokemon,140,0.39
28,Larvesta,Common,Pokemon,80,0.23
29,Volcarona,Uncommon,Pokemon,140,0.28
30,Reshiram ex,Double Rare,Pokemon,220,0.60
31,Volcanion ex,Double Rare,Pokemon,220,0.70
32,Articuno,Uncommon,Pokemon,110,0.42
33,Remoraid,Common,Pokemon,60,0.25
34,Octillery,Uncommon,Pokemon,110,0.37
35,Lotad,Common,Pokemon,60,0.31
36,Lombre,Common,Pokemon,90,0.24
37,Ludicolo,Rare,Pokemon,140,0.56
38,Wingull,Common,Pokemon,60,0.28
39,Pelipper,Uncommon,Pokemon,120,0.24
40,Wailmer,Common,Pokemon,130,0.23
41,Wailord,Rare,Pokemon,240,0.42
42,Regice,Uncommon,Pokemon,120,0.43
43,Veluza ex,Double Rare,Pokemon,210,0.56
44,Alolan Geodude,Common,Pokemon,60,0.28
45,Alolan Graveler,Common,Pokemon,100,0.23
46,Alolan Golem,Uncommon,Pokemon,180,0.41
47,Iono's Voltorb,Common,Pokemon,70,0.22
48,Iono's Electrode,Uncommon,Pokemon,100,0.42
49,N's Joltik,Common,Pokemon,40,0.23
50,Togedemaru,Common,Pokemon,80,0.21
51,Tapu Koko ex,Double Rare,Pokemon,200,0.62
52,Iono's Tadbulb,Common,Pokemon,60,0.27
53,Iono's Bellibolt ex,Double Rare,Pokemon,280,0.56
54,Iono's Wattrel,Common,Pokemon,60,0.32
55,Iono's Kilowattrel,Rare,Pokemon,120,0.50
56,Lillie's Clefairy ex,Double Rare,Pokemon,190,2.05
57,Alolan Marowak,Uncommon,Pokemon,120,0.26
58,Mr. Mime,Common,Pokemon,90,0.28
59,Shuppet,Common,Pokemon,60,0.33
60,Banette,Uncommon,Pokemon,90,0.55
61,Beldum,Common,Pokemon,60,0.20
62,Metang,Common,Pokemon,100,0.26
63,Metagross,Rare,Pokemon,170,0.67
64,N's Sigilyph,Common,Pokemon,110,0.25
65,Oricorio,Common,Pokemon,80,0.22
66,Lillie's Cutiefly,Common,Pokemon,30,0.24
67,Lillie's Ribombee,Rare,Pokemon,70,1.43
68,Lillie's Comfey,Common,Pokemon,70,0.23
69,Mimikyu ex,Double Rare,Pokemon,190,1.63
70,Dhelmise,Common,Pokemon,130,0.27
71,Impidimp,Common,Pokemon,70,0.25
72,Morgrem,Common,Pokemon,90,0.21
73,Grimmsnarl,Uncommon,Pokemon,170,0.34
74,Milcery,Common,Pokemon,50,0.32
75,Alcremie ex,Double Rare,Pokemon,250,0.66
76,Cubone,Common,Pokemon,70,0.28
77,Swinub,Common,Pokemon,70,0.26
78,Piloswine,Common,Pokemon,100,0.25
79,Mamoswine ex,Double Rare,Pokemon,340,0.52
80,Larvitar,Common,Pokemon,70,0.25
81,Pupitar,Common,Pokemon,90,0.28
