number,ebay_price
6,3.81
11,1.87
12,3.00
14,5.00
17,1.00
23,3.03
26,2.81
27,1.50
28,2.99
30,3.99
31,0.99
32,1.00
34,3.69
41,3.81
51,NA
56,NA
58,NA
60,NA
64,NA
73,NA
75,12.44
76,5.97
82,7.82
91,NA
92,NA
144,300.00
145,20.00
146,188.90
147,95.00
148,18.50
149,227.75
150,236.98
151,42.00
152,15.97
153,175.49
154,33.21
155,282.50
156,434.08
157,46.63
158,33.76
159,24.41
160,17.22
161,1500.00
162,167.02
163,31.72
164,40.14
165,120.34
166,61.00
167,174.33
168,62.80
169,34.53
170,13.97
171,38.41
172,16.99
173,22.46
174,20.20
175,27.47
176,5.75
177,10.25
178,8.06
179,66.50
180,10.00
